type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-07-23 07:37:02,47.66212261,17.66052010,10,119.180,44.222,0.000,,21,26,20220723-093702,GPS Logger: 20220723-093702 - bodajk
T,2022-07-23 07:37:03,47.66212204,17.66051847,10,119.041,44.222,0.000,,21,26,,
T,2022-07-23 07:37:04,47.66212100,17.66052113,10,118.955,44.222,0.000,,18,26,,
T,2022-07-23 07:37:05,47.66212143,17.66051932,10,118.530,44.222,0.000,,18,26,,
T,2022-07-23 07:37:06,47.66212050,17.66052164,10,118.419,44.222,0.000,,18,26,,
T,2022-07-23 07:37:07,47.66212099,17.66051957,10,118.534,44.222,0.000,,18,26,,
T,2022-07-23 07:37:08,47.66212371,17.66051650,10,118.914,44.222,0.620,322,18,26,,
T,2022-07-23 07:37:09,47.66213681,17.66049008,10,118.771,44.222,1.830,329,18,26,,
T,2022-07-23 07:37:10,47.66215658,17.66048350,10,119.032,44.222,2.880,352,20,27,,
T,2022-07-23 07:37:11,47.66218986,17.66048473,10,119.139,44.222,4.560,2,21,27,,
T,2022-07-23 07:37:12,47.66223108,17.66050037,10,118.984,44.222,5.200,13,22,27,,
T,2022-07-23 07:37:13,47.66228849,17.66057257,10,117.759,44.222,9.410,44,22,27,,
T,2022-07-23 07:37:14,47.66234920,17.66064693,10,116.462,44.221,9.000,38,22,27,,
T,2022-07-23 07:37:15,47.66241362,17.66070915,10,115.982,44.221,8.760,34,22,27,,
T,2022-07-23 07:37:16,47.66248252,17.66078700,10,115.920,44.221,9.660,36,22,27,,
T,2022-07-23 07:37:17,47.66256181,17.66088467,10,116.921,44.221,11.340,38,22,26,,
T,2022-07-23 07:37:18,47.66265052,17.66097941,10,117.707,44.221,11.660,37,20,26,,
T,2022-07-23 07:37:19,47.66273452,17.66106877,10,118.245,44.221,11.520,36,20,26,,
T,2022-07-23 07:37:20,47.66281728,17.66117049,10,117.957,44.220,11.190,34,20,26,,
T,2022-07-23 07:37:21,47.66290187,17.66125699,10,118.516,44.220,10.920,35,20,26,,
T,2022-07-23 07:37:22,47.66298000,17.66133068,10,118.271,44.220,10.430,33,20,26,,
T,2022-07-23 07:37:23,47.66305798,17.66141176,10,117.708,44.220,11.020,35,20,26,,
T,2022-07-23 07:37:24,47.66314166,17.66149554,10,118.222,44.220,11.530,35,20,27,,
T,2022-07-23 07:37:25,47.66322932,17.66158312,10,118.942,44.219,11.240,33,21,27,,
T,2022-07-23 07:37:26,47.66331437,17.66166683,10,118.799,44.219,11.020,32,21,27,,
T,2022-07-23 07:37:27,47.66339779,17.66174932,10,118.301,44.219,11.300,33,20,27,,
T,2022-07-23 07:37:28,47.66348616,17.66183126,10,119.230,44.219,11.550,33,20,27,,
T,2022-07-23 07:37:29,47.66358114,17.66191318,10,120.049,44.218,12.250,31,21,27,,
T,2022-07-23 07:37:30,47.66367567,17.66199263,10,120.377,44.218,11.890,28,20,27,,
T,2022-07-23 07:37:31,47.66377659,17.66207976,10,119.848,44.218,12.840,30,21,27,,
T,2022-07-23 07:37:32,47.66387662,17.66217626,10,120.785,44.218,13.460,32,21,27,,
T,2022-07-23 07:37:33,47.66398212,17.66226456,10,121.121,44.218,13.010,30,21,27,,
T,2022-07-23 07:37:34,47.66408093,17.66235169,10,121.582,44.217,12.550,29,20,27,,
T,2022-07-23 07:37:35,47.66417301,17.66242049,10,121.436,44.217,11.060,29,20,26,,
T,2022-07-23 07:37:36,47.66425021,17.66250020,10,121.601,44.217,10.210,34,20,25,,
T,2022-07-23 07:37:37,47.66432551,17.66257483,10,120.756,44.217,9.090,32,20,25,,
T,2022-07-23 07:37:38,47.66438990,17.66264761,10,121.202,44.217,7.920,37,20,26,,
T,2022-07-23 07:37:39,47.66444127,17.66270360,10,120.449,44.216,7.020,36,21,26,,
T,2022-07-23 07:37:40,47.66448388,17.66274722,10,120.069,44.216,5.840,38,21,26,,
T,2022-07-23 07:37:41,47.66452082,17.66278669,10,120.953,44.216,4.810,35,21,27,,
T,2022-07-23 07:37:42,47.66455275,17.66282038,10,121.427,44.216,3.620,36,22,27,,
T,2022-07-23 07:37:43,47.66457505,17.66284536,10,119.756,44.216,2.930,38,22,28,,
T,2022-07-23 07:37:44,47.66459322,17.66285928,10,119.293,44.216,1.620,42,22,28,,
