type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-08-31 09:44:36,47.46404757,19.02053997,11,96.766,43.859,0.000,,16,19,20220831-114436,GPS Logger: 20220831-114436 - Kelenföld -KöKi
T,2022-08-31 09:44:37,47.46404752,19.02054002,11,96.762,43.859,0.000,,16,19,,
T,2022-08-31 09:44:38,47.46404747,19.02054006,10,96.765,43.859,0.000,,17,18,,
T,2022-08-31 09:44:39,47.46404744,19.02054010,10,96.773,43.859,0.000,,15,18,,
T,2022-08-31 09:44:40,47.46404738,19.02054013,10,96.774,43.859,0.000,,14,18,,
T,2022-08-31 09:44:41,47.46404732,19.02054016,10,96.775,43.859,0.000,,14,18,,
T,2022-08-31 09:44:42,47.46404727,19.02054020,10,96.790,43.859,0.000,,14,18,,
T,2022-08-31 09:44:43,47.46404725,19.02054023,10,96.790,43.859,0.000,,13,18,,
T,2022-08-31 09:44:44,47.46404721,19.02054025,10,96.790,43.859,0.000,,12,18,,
T,2022-08-31 09:44:45,47.46404715,19.02054030,10,96.797,43.859,0.000,,14,18,,
T,2022-08-31 09:44:46,47.46404705,19.02054035,10,96.808,43.859,0.000,,14,18,,
T,2022-08-31 09:44:47,47.46404696,19.02054038,10,96.815,43.859,0.000,,13,18,,
T,2022-08-31 09:44:48,47.46404686,19.02054042,10,96.817,43.859,0.000,,14,18,,
T,2022-08-31 09:44:49,47.46404679,19.02054046,10,96.815,43.859,0.000,,15,18,,
T,2022-08-31 09:44:50,47.46404668,19.02054053,10,96.820,43.859,0.000,,16,18,,
T,2022-08-31 09:44:51,47.46404657,19.02054059,10,96.822,43.859,0.000,,15,18,,
T,2022-08-31 09:44:52,47.46404647,19.02054065,10,96.835,43.859,0.000,,14,18,,
T,2022-08-31 09:44:53,47.46404641,19.02054072,10,96.843,43.859,0.000,,14,18,,
T,2022-08-31 09:44:54,47.46404872,19.02054047,10,97.791,43.859,0.000,,14,20,,
T,2022-08-31 09:44:55,47.46404985,19.02054039,10,97.805,43.859,0.000,,16,20,,
T,2022-08-31 09:44:56,47.46405040,19.02054038,11,97.823,43.859,0.000,,16,20,,
T,2022-08-31 09:44:57,47.46405065,19.02054043,11,97.848,43.859,0.000,,16,21,,
T,2022-08-31 09:44:58,47.46405075,19.02054048,11,97.861,43.859,0.000,,17,21,,
T,2022-08-31 09:44:59,47.46405080,19.02054056,12,97.890,43.859,0.000,,15,21,,
T,2022-08-31 09:45:00,47.46405078,19.02054066,12,97.907,43.859,0.000,,16,21,,
T,2022-08-31 09:45:01,47.46405072,19.02054081,13,97.945,43.859,0.000,,16,21,,
T,2022-08-31 09:45:02,47.46405064,19.02054094,13,97.957,43.859,0.000,,16,21,,
T,2022-08-31 09:45:03,47.46405041,19.02054110,13,97.914,43.859,0.000,,16,22,,
T,2022-08-31 09:45:04,47.46405024,19.02054123,12,97.926,43.859,0.000,,15,23,,
T,2022-08-31 09:45:05,47.46405017,19.02054131,12,97.928,43.859,0.000,,16,23,,
T,2022-08-31 09:45:06,47.46405009,19.02054139,12,97.944,43.859,0.000,,15,23,,
T,2022-08-31 09:45:07,47.46405003,19.02054146,12,97.954,43.859,0.000,,16,23,,
T,2022-08-31 09:45:08,47.46404983,19.02054159,12,97.914,43.859,0.000,,18,23,,
T,2022-08-31 09:45:09,47.46404972,19.02054168,11,97.930,43.859,0.000,,19,23,,
T,2022-08-31 09:45:10,47.46404964,19.02054172,11,97.930,43.859,0.000,,20,23,,
T,2022-08-31 09:45:11,47.46404959,19.02054175,11,97.948,43.859,0.000,,18,23,,
T,2022-08-31 09:45:12,47.46404956,19.02054176,11,97.950,43.859,0.000,,17,23,,
T,2022-08-31 09:45:13,47.46404941,19.02054185,11,97.921,43.859,0.000,,15,23,,
T,2022-08-31 09:45:14,47.46404934,19.02054188,11,97.932,43.859,0.000,,14,23,,
T,2022-08-31 09:45:15,47.46404935,19.02054191,11,97.939,43.859,0.000,,13,23,,
T,2022-08-31 09:45:16,47.46404935,19.02054195,11,97.947,43.859,0.000,,12,23,,
T,2022-08-31 09:45:17,47.46404934,19.02054195,11,97.937,43.859,0.000,,15,23,,
T,2022-08-31 09:45:18,47.46404930,19.02054199,11,97.948,43.859,0.000,,16,22,,
T,2022-08-31 09:45:19,47.46404923,19.02054205,11,97.943,43.859,0.000,,17,22,,
T,2022-08-31 09:45:20,47.46404918,19.02054211,10,97.954,43.859,0.000,,17,21,,
