type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-02-09 13:03:39,47.67957455,17.64050119,5,111.790,44.181,0.000,,15,18,20220209-140339,GPS Logger: 20220209-140339
T,2022-02-09 13:03:40,47.67957444,17.64049840,5,111.776,44.181,0.000,,15,17,,
T,2022-02-09 13:03:41,47.67957577,17.64049759,4,112.113,44.181,0.000,,15,17,,
T,2022-02-09 13:03:42,47.67957518,17.64049994,4,112.366,44.181,0.000,,15,17,,
T,2022-02-09 13:03:43,47.67957982,17.64050906,4,112.709,44.181,0.360,33,14,17,,
T,2022-02-09 13:03:44,47.67958335,17.64051583,4,112.351,44.181,0.000,,15,17,,
T,2022-02-09 13:03:45,47.67958949,17.64051809,4,112.220,44.181,0.340,25,15,17,,
T,2022-02-09 13:03:46,47.67959574,17.64053085,4,111.903,44.181,0.770,65,14,17,,
T,2022-02-09 13:03:47,47.67959714,17.64053938,4,111.859,44.181,0.000,,14,17,,
T,2022-02-09 13:03:48,47.67959880,17.64053803,4,112.606,44.181,0.000,,15,17,,
T,2022-02-09 13:03:49,47.67959886,17.64054132,4,112.224,44.181,0.000,,15,17,,
T,2022-02-09 13:03:50,47.67959939,17.64053892,4,112.359,44.181,0.000,,16,17,,
T,2022-02-09 13:03:51,47.67959990,17.64053850,4,112.400,44.181,0.000,,16,17,,
T,2022-02-09 13:03:52,47.67959789,17.64053852,4,112.085,44.181,0.000,,16,17,,
T,2022-02-09 13:03:53,47.67959862,17.64053571,4,112.994,44.181,0.000,,16,17,,
T,2022-02-09 13:03:54,47.67959933,17.64053467,4,113.488,44.181,0.000,,16,17,,
T,2022-02-09 13:03:55,47.67959932,17.64053288,5,113.448,44.181,0.000,,15,17,,
T,2022-02-09 13:03:56,47.67959801,17.64053094,5,113.573,44.181,0.000,,15,17,,
T,2022-02-09 13:03:57,47.67959718,17.64053228,5,113.399,44.181,0.000,,16,17,,
T,2022-02-09 13:03:58,47.67959666,17.64053294,5,113.433,44.181,0.000,,16,17,,
T,2022-02-09 13:03:59,47.67955912,17.64056471,5,113.207,44.181,3.900,144,14,17,,
T,2022-02-09 13:04:00,47.67950434,17.64063249,5,112.248,44.181,5.090,139,14,17,,
T,2022-02-09 13:04:01,47.67945442,17.64069191,6,112.033,44.181,5.880,141,14,17,,
T,2022-02-09 13:04:02,47.67940674,17.64076157,7,111.390,44.181,6.460,137,14,17,,
T,2022-02-09 13:04:03,47.67934846,17.64081591,7,110.587,44.181,6.330,146,15,17,,
T,2022-02-09 13:04:04,47.67929800,17.64088452,8,112.389,44.182,7.150,144,15,17,,
T,2022-02-09 13:04:05,47.67923552,17.64094321,6,113.256,44.182,7.460,149,15,17,,
T,2022-02-09 13:04:06,47.67915889,17.64102296,6,111.483,44.182,8.300,150,15,17,,
T,2022-02-09 13:04:07,47.67908434,17.64108258,5,112.154,44.182,7.550,143,15,17,,
T,2022-02-09 13:04:08,47.67898226,17.64113743,5,110.433,44.182,7.950,146,15,17,,
T,2022-02-09 13:04:09,47.67891841,17.64119121,5,109.438,44.182,7.350,146,14,17,,
T,2022-02-09 13:04:10,47.67887210,17.64123208,5,107.632,44.183,5.860,151,15,17,,
T,2022-02-09 13:04:11,47.67881725,17.64126522,5,107.550,44.183,6.400,152,15,17,,
T,2022-02-09 13:04:12,47.67877786,17.64131505,5,108.986,44.183,5.850,147,15,17,,
T,2022-02-09 13:04:13,47.67873304,17.64136752,5,110.341,44.183,5.720,145,15,17,,
T,2022-02-09 13:04:14,47.67869560,17.64140448,5,113.348,44.183,5.310,150,16,17,,
T,2022-02-09 13:04:15,47.67864227,17.64143965,6,113.741,44.183,5.890,156,16,18,,
T,2022-02-09 13:04:16,47.67858870,17.64145483,5,114.564,44.183,5.660,171,17,18,,
T,2022-02-09 13:04:17,47.67853043,17.64147967,5,114.021,44.183,5.570,177,17,18,,
T,2022-02-09 13:04:18,47.67848147,17.64151720,6,114.171,44.184,5.180,171,17,19,,
T,2022-02-09 13:04:19,47.67844460,17.64154403,6,114.435,44.184,4.690,161,18,19,,
T,2022-02-09 13:04:20,47.67840129,17.64159742,5,115.620,44.184,5.250,147,18,19,,
T,2022-02-09 13:04:21,47.67836190,17.64166436,5,116.454,44.184,5.870,142,18,19,,
T,2022-02-09 13:04:22,47.67831547,17.64171714,5,117.324,44.184,6.340,147,17,19,,
T,2022-02-09 13:04:23,47.67826120,17.64177421,5,118.107,44.184,7.260,153,17,19,,
T,2022-02-09 13:04:24,47.67821294,17.64183087,5,118.763,44.184,7.180,154,17,19,,
T,2022-02-09 13:04:25,47.67814829,17.64187106,6,118.199,44.184,8.090,159,15,19,,
T,2022-02-09 13:04:26,47.67809832,17.64191403,5,117.791,44.184,7.630,160,15,19,,
T,2022-02-09 13:04:27,47.67803597,17.64195301,6,118.741,44.185,8.150,161,15,19,,
T,2022-02-09 13:04:28,47.67799241,17.64200271,6,120.407,44.185,7.130,159,15,19,,
T,2022-02-09 13:04:29,47.67793577,17.64203847,6,121.163,44.185,7.400,161,15,19,,
T,2022-02-09 13:04:30,47.67786028,17.64206983,6,119.275,44.185,7.500,163,13,19,,
T,2022-02-09 13:04:31,47.67779670,17.64210903,6,119.110,44.185,7.040,164,13,19,,
T,2022-02-09 13:04:32,47.67774030,17.64214325,6,120.728,44.185,6.700,165,14,19,,
T,2022-02-09 13:04:33,47.67768786,17.64216546,7,121.137,44.185,6.430,167,15,19,,
