type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-01-23 06:25:54,47.67507636,17.66609409,9.38,96.726,44.191,0.000,,17,19,20250123-072554,GPS Logger: 20250123-072554 - seta-busz
T,2025-01-23 06:25:55,47.67508152,17.66609086,8.97,95.871,44.191,0.000,,18,20,,
T,2025-01-23 06:25:56,47.67508903,17.66608397,8.56,95.854,44.191,0.000,,18,22,,
T,2025-01-23 06:25:57,47.67510297,17.66608412,7.45,97.158,44.191,0.000,,20,23,,
T,2025-01-23 06:25:58,47.67511153,17.66608371,7.33,98.662,44.191,0.000,,20,23,,
T,2025-01-23 06:25:59,47.67511162,17.66608555,6.87,99.617,44.191,0.000,,20,23,,
T,2025-01-23 06:26:00,47.67511156,17.66608740,6.28,99.404,44.191,0.000,,20,24,,
T,2025-01-23 06:26:01,47.67511386,17.66609721,5.75,98.947,44.191,0.000,,21,25,,
T,2025-01-23 06:26:02,47.67511453,17.66610221,5.30,98.398,44.191,0.000,,22,27,,
T,2025-01-23 06:26:03,47.67511770,17.66610510,5.35,97.902,44.191,0.000,,24,27,,
T,2025-01-23 06:26:04,47.67511601,17.66610727,5.22,97.486,44.191,0.000,,24,29,,
T,2025-01-23 06:26:05,47.67511084,17.66611317,5.04,97.209,44.191,0.560,358,24,29,,
T,2025-01-23 06:26:06,47.67511681,17.66611065,4.80,99.503,44.191,0.380,350,24,29,,
T,2025-01-23 06:26:07,47.67512417,17.66611846,4.66,102.379,44.191,0.000,,25,29,,
T,2025-01-23 06:26:08,47.67513812,17.66613124,4.47,104.398,44.191,0.540,66,25,30,,
T,2025-01-23 06:26:09,47.67515568,17.66614724,4.09,105.119,44.191,0.580,6,25,31,,
T,2025-01-23 06:26:10,47.67516584,17.66614624,3.90,107.123,44.191,0.420,331,24,31,,
T,2025-01-23 06:26:11,47.67517338,17.66615247,3.79,108.224,44.191,0.420,3,25,31,,
