type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-06-17 07:35:23,47.68190654,17.63540317,7.28,102.117,44.176,0.000,,15,18,20230617-093523,GPS Logger: 20230617-093523 - Gyor-Komarom-vonat
T,2023-06-17 07:35:24,47.68190608,17.63540250,7.08,102.175,44.176,0.000,,15,18,,
T,2023-06-17 07:35:25,47.68190521,17.63540155,7.52,102.043,44.176,0.000,,15,18,,
T,2023-06-17 07:35:26,47.68190369,17.63540033,7.05,101.572,44.176,0.000,,15,18,,
T,2023-06-17 07:35:27,47.68190247,17.63539786,6.71,101.701,44.176,0.000,,15,18,,
T,2023-06-17 07:35:28,47.68190133,17.63539448,6.63,102.238,44.176,0.000,,16,18,,
T,2023-06-17 07:35:29,47.68190337,17.63538899,6.39,101.472,44.176,0.000,,15,18,,
T,2023-06-17 07:35:30,47.68190344,17.63538625,6.82,102.001,44.176,0.000,,15,18,,
T,2023-06-17 07:35:31,47.68190377,17.63538423,7.05,101.883,44.176,0.000,,16,18,,
T,2023-06-17 07:35:32,47.68190403,17.63538271,7.23,101.913,44.176,0.000,,17,18,,
T,2023-06-17 07:35:33,47.68190404,17.63538209,7.02,101.938,44.176,0.000,,17,18,,
T,2023-06-17 07:35:34,47.68190431,17.63538117,6.52,101.884,44.176,0.000,,17,18,,
T,2023-06-17 07:35:35,47.68190490,17.63537959,6.21,101.668,44.176,0.000,,15,18,,
T,2023-06-17 07:35:36,47.68190543,17.63537939,6.16,101.819,44.176,0.000,,14,18,,
T,2023-06-17 07:35:37,47.68190569,17.63537927,6.04,101.821,44.176,0.000,,15,18,,
T,2023-06-17 07:35:38,47.68190579,17.63537913,6.21,101.842,44.176,0.000,,15,18,,
T,2023-06-17 07:35:39,47.68190581,17.63537902,6.19,101.849,44.176,0.000,,15,18,,
T,2023-06-17 07:35:40,47.68190582,17.63537895,6.02,101.854,44.176,0.000,,16,18,,
T,2023-06-17 07:35:41,47.68190573,17.63537878,6.29,101.866,44.176,0.000,,15,18,,
T,2023-06-17 07:35:42,47.68190565,17.63537862,6.48,101.895,44.176,0.000,,12,17,,
