type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-12-17 07:10:51,47.66781154,17.64289378,4.13,111.185,44.209,0.000,,20,27,20241217-081051,GPS Logger: 20241217-081051 - posta-egyetem
T,2024-12-17 07:10:52,47.66783360,17.64284721,3.79,116.981,44.209,0.310,340,19,28,,
T,2024-12-17 07:10:53,47.66784838,17.64283042,3.97,117.880,44.209,0.000,,21,29,,
T,2024-12-17 07:10:54,47.66785179,17.64283179,3.94,118.508,44.209,0.000,,22,29,,
T,2024-12-17 07:10:55,47.66785518,17.64283809,3.94,118.008,44.209,0.000,,22,29,,
T,2024-12-17 07:10:56,47.66785813,17.64283887,3.85,118.011,44.209,0.000,,22,29,,
T,2024-12-17 07:10:57,47.66785771,17.64284974,3.81,117.402,44.209,0.000,,22,29,,
T,2024-12-17 07:10:58,47.66785966,17.64285140,3.82,117.114,44.209,0.000,,22,29,,
T,2024-12-17 07:10:59,47.66785037,17.64285641,3.89,117.298,44.209,0.860,158,22,29,,
T,2024-12-17 07:11:00,47.66783303,17.64285971,3.79,116.955,44.209,0.760,162,22,29,,
T,2024-12-17 07:11:01,47.66783228,17.64285724,3.79,117.060,44.209,0.850,162,22,29,,
T,2024-12-17 07:11:02,47.66782872,17.64286222,3.79,116.474,44.209,0.710,162,23,29,,
T,2024-12-17 07:11:03,47.66782792,17.64286190,3.79,116.800,44.209,0.460,162,23,29,,
T,2024-12-17 07:11:04,47.66782333,17.64285797,3.79,116.406,44.209,0.480,162,24,29,,
T,2024-12-17 07:11:05,47.66781480,17.64285861,3.79,116.374,44.209,0.630,169,24,29,,
T,2024-12-17 07:11:06,47.66781463,17.64285254,3.79,115.903,44.209,0.560,169,24,29,,
T,2024-12-17 07:11:07,47.66781110,17.64285530,3.79,115.852,44.209,0.430,169,23,29,,
T,2024-12-17 07:11:08,47.66780562,17.64285797,3.79,115.679,44.209,0.650,169,21,29,,
T,2024-12-17 07:11:09,47.66780142,17.64285954,3.79,115.236,44.209,0.480,169,21,29,,
T,2024-12-17 07:11:10,47.66780298,17.64285834,3.79,115.650,44.209,0.000,,22,29,,
T,2024-12-17 07:11:11,47.66780480,17.64285676,3.79,115.785,44.209,0.300,169,22,29,,
T,2024-12-17 07:11:12,47.66780762,17.64285051,3.79,115.993,44.209,0.800,169,21,29,,
T,2024-12-17 07:11:13,47.66781394,17.64283697,3.79,116.386,44.209,1.290,297,22,29,,
T,2024-12-17 07:11:14,47.66782039,17.64282113,3.79,115.984,44.209,1.230,282,22,29,,
T,2024-12-17 07:11:15,47.66782295,17.64279283,3.79,116.846,44.209,2.860,270,22,29,,
T,2024-12-17 07:11:16,47.66782489,17.64278177,3.79,116.846,44.209,0.000,,22,29,,
